backdoor_loss,epoch,step
18.644287109375,0,49
16.4019775390625,0,99
19.691112518310547,0,149
16.75885581970215,0,199
18.379745483398438,0,249
17.609455108642578,0,299
17.23874282836914,0,349
18.65338706970215,0,399
17.693479537963867,0,449
18.228029251098633,0,499
17.610206604003906,0,549
17.38314437866211,0,599
17.79851531982422,0,649
18.016693115234375,0,699
18.13622283935547,0,749
18.00012969970703,1,799
18.17352294921875,1,849
17.47635841369629,1,899
16.784008026123047,1,949
16.833900451660156,1,999
16.489994049072266,1,1049
17.18604850769043,1,1099
15.862127304077148,1,1149
17.44546890258789,1,1199
16.926198959350586,1,1249
17.360057830810547,1,1299
17.86968231201172,1,1349
17.775474548339844,1,1399
18.033714294433594,1,1449
16.72509765625,1,1499
16.859899520874023,1,1549
